Kode Unik,Nama Kos,Harga,Wilayah,No HP,Kamar kosong,Fasilitas,Jenis Kelamin,Jarak ke UNESA,Foto
1063,63 Pak Ibrahim,799.000,Gayungan,08532477890654,1,"kamar mandi dalam, wifi, Kasur Lemari",putra,3.8 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\4.jpg
1039,Asri,650.000,Ketintang Baru,08132255776687,3,"Kamar mandi luar, Meja, Lemari Listrik, wifi, Kipas angin",Putri,2 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\4.jpg
1083,Barokah 30,500.000,Wonocolo,089333211900,5,"kamar mandi luar, wifi, kasur",putra,2.1 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\1.jpg
1052,Bendul Merisi I,1.350.000,Wonocolo,08933209915643,2,"Kamar mandi luar, tidak include listrik, AC, Meja, Lemari,Laundry, TV umum, wifi, Parkiran",Putri,2 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\5.jpg
1019,Bentul,1.900.000,Wonokromo,089656543217,1,"kamar mandi dalam, Lemari, Kasur, AC, Ventilasi, wifi, Jendela, Listrik mandiri",Campur,3 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\2.jpg
1028,Bibis,600.000,Jambangan,082365478098,2,"kamar mandi dalam, Kipas angin, wifi, Listrik",Campur,1.7 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\5.jpg
1011,Bonsa,500.000,Jambangan,086523498761,1,"kamar mandi luar, Kasur, Lemari, Jendela, Listrik mandiri",Campur,2.8 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\6.jpg
1089,Cahaya,600.000,Ketintang,086532890765,4 kamar,"Kamar mandi dalam, listrik, kasur",Wanita,3 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\1.jpg
1078,Cemerlang ,900.000,Jambangan,081432765098,1,"kamar mandi dalam, wifi, kasur, lemari, listrik",putra,4.7 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\2.jpg
1008,Cozy 1,920.000,Wonokromo,082323235436,1,"kamar mandi luar, Kasur, Lemari, Meja, Kursi, Listrik, wifi",Campur,600 m,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\3.jpg
1071,Eksklusif,1.500.000,Jambangan,086441320987,1,"kamar mandi dalam, wifi, lemari, kasur, listrik, AC",putra,1 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\1.jpg
1068,Eksklusif Nides,1.200.000,Wonokromo,0823498877665,1,"Kamar mandi luar, AC, wifi, listrik",putra,2.6 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\3.jpg
1022,Elnathan,1.500.000,Jambangan,086789009543,2,"kamar mandi dalam, Kasur, Lemari, Meja, Ventilasi, Laundry, Listrik",Campur,2.4 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\5.jpg
